9409446,3,,1415529577,11/11/2014,14/11/2014,3
9609804,0,23071,1415529572,16/11/2014,17/11/2014,1
9581534,13,,1415529555,15/11/2014,18/11/2014,3
9585554,0,1140,1415529514,15/11/2014,18/11/2014,3
9606678,11,200,1415529510,14/12/2014,15/12/2014,1
9609890,49,,1415529450,16/11/2014,19/11/2014,3
9591340,0,8,1415529418,13/12/2014,14/12/2014,1
9610710,11,101997,1415529376,14/12/2014,15/12/2014,1
9451610,30,30,1415529341,15/11/2014,16/11/2014,1
9610644,7,514,1415529297,16/11/2014,19/11/2014,3
9610872,2,24,1415529250,5/12/2014,6/12/2014,1
9611042,0,,1415529188,04/12/2014,07/12/2014,3
9609400,12,82,1415529187,01/12/2014,03/12/2014,2
9610894,1,210,1415529182,16/11/2014,19/11/2014,3
9539328,2,,1415529105,04/12/2014,07/12/2014,3
9610662,11,,1415528980,16/11/2014,19/11/2014,3
9502944,10,8,1415528836,13/11/2014,16/11/2014,3
9610752,2,942,1415528798,10/11/2014,11/11/2014,1
9610784,3,,1415528682,16/11/2014,19/11/2014,3
9610582,8,,1415528672,01/12/2014,04/12/2014,3
9610724,7,8,1415528652,16/11/2014,19/11/2014,3
9326642,23,168,1415528647,25/11/2014,27/11/2014,2
9609630,45,84,1415528620,14/11/2014,15/11/2014,1
9543400,18,542,1415528587,14/11/2014,17/11/2014,3
9610554,11,23071,1415528574,01/12/2014,03/12/2014,2
9610508,9,150,1415528497,26/12/2014,29/12/2014,3
9610042,9,482,1415528461,15/11/2014,17/11/2014,2
9609882,30,54,1415528389,15/01/2015,18/01/2015,3
9610114,13,515837,1415528224,14/12/2014,15/12/2014,1
9610106,0,,1415528196,04/12/2014,07/12/2014,3
9610628,1,,1415528175,01/12/2014,04/12/2014,3
9600480,17,516123,1415528081,13/12/2014,14/12/2014,1
9610478,3,632,1415527963,14/12/2014,15/12/2014,1
9610560,0,148,1415527898,16/11/2014,19/11/2014,3
9605734,0,308,1415527870,10/11/2014,11/11/2014,1
9608886,8,,1415527849,04/12/2014,07/12/2014,3
9610134,12,386,1415527827,28/11/2014,30/11/2014,2
9597776,34,60,1415527404,04/12/2014,07/12/2014,3
9542234,43,,1415527319,04/12/2014,07/12/2014,3
9610140,3,,1415527286,16/11/2014,19/11/2014,3
9568886,35,30,1415527215,14/11/2014,15/11/2014,1
9518614,37,438,1415527099,07/12/2014,08/12/2014,1
9609650,18,,1415527077,04/12/2014,07/12/2014,3
9608696,35,,1415527008,04/12/2014,07/12/2014,3
9609734,17,,1415526986,01/12/2014,04/12/2014,3
9609930,4,62,1415526911,01/12/2014,03/12/2014,2
9609560,0,,1415526646,04/12/2014,07/12/2014,3
9608602,31,186,1415526444,04/12/2014,07/12/2014,3
9609886,0,512301,1415526318,14/12/2014,15/12/2014,1
9609852,0,13336,1415526308,14/12/2014,15/12/2014,1
9608992,4,442601,1415526293,30/11/2014,01/12/2014,-29
9609444,12,194,1415526184,22/12/2014,28/12/2014,6
9609518,10,,1415526035,16/11/2014,19/11/2014,3
9608020,4,14,1415525768,16/11/2014,19/11/2014,3
9605170,7,,1415525514,16/11/2014,19/11/2014,3
9609530,0,,1415525398,04/12/2014,07/12/2014,3
9577422,7,32,1415525330,15/11/2014,18/11/2014,3
9609456,0,,1415525238,16/11/2014,19/11/2014,3
9609430,0,,1415525179,16/11/2014,19/11/2014,3
9608094,43,,1415525130,04/12/2014,07/12/2014,3
9609016,8,,1415524869,16/11/2014,19/11/2014,3
9607244,10,8,1415524866,16/11/2014,19/11/2014,3
9607916,42,509709,1415524777,26/12/2014,27/12/2014,1
9609034,7,18,1415524776,24/11/2014,25/11/2014,1
9608906,14,515479,1415524745,14/12/2014,15/12/2014,1
9608636,22,,1415524674,04/12/2014,07/12/2014,3
9609206,1,,1415524665,04/12/2014,07/12/2014,3
9609094,3,,1415524644,04/12/2014,07/12/2014,3
9609178,1,,1415524629,16/11/2014,19/11/2014,3
9609210,0,,1415524556,04/12/2014,07/12/2014,3
9560328,48,128785,1415524451,13/12/2014,14/12/2014,1
9608714,7,110,1415524020,14/12/2014,15/12/2014,1
9607402,11,,1415523814,04/12/2014,07/12/2014,3
9608792,0,148,1415523803,16/11/2014,19/11/2014,3
9608484,14,,1415523751,14/12/2014,15/12/2014,1
9608794,0,32,1415523651,16/11/2014,19/11/2014,3
9602152,23,832,1415523514,02/12/2014,03/12/2014,1
9608586,1,42,1415523476,15/11/2014,16/11/2014,1
9607998,24,,1415523446,01/12/2014,03/12/2014,2
9608502,0,,1415523378,04/12/2014,07/12/2014,3
9608700,0,10026,1415523326,16/11/2014,19/11/2014,3
9608680,0,,1415523301,16/11/2014,19/11/2014,3
9608480,1,520875,1415523073,14/12/2014,15/12/2014,1
9607384,0,,1415523055,16/11/2014,19/11/2014,3
9608214,11,23167,1415522973,14/12/2014,15/12/2014,1
9595872,7,444,1415522942,15/11/2014,18/11/2014,3
9608440,1,,1415522940,01/12/2014,04/12/2014,3
9607532,26,,1415522935,04/12/2014,07/12/2014,3
9608264,7,,1415522899,16/11/2014,19/11/2014,3
9608422,1,255345,1415522851,16/11/2014,19/11/2014,3
9608340,1,170,1415522810,16/11/2014,19/11/2014,3
9600184,6,112,1415522722,01/12/2014,03/12/2014,2
9608244,0,,1415522545,04/12/2014,07/12/2014,3
9608242,2,,1415522458,04/12/2014,07/12/2014,3
9607452,14,108,1415522409,16/11/2014,19/11/2014,3
9546044,6,,1415522251,04/12/2014,07/12/2014,3
9579414,15,,1415522245,04/12/2014,07/12/2014,3
9607392,4,,1415522157,01/12/2014,04/12/2014,3
9606490,50,,1415522128,16/11/2014,19/11/2014,3
9604422,17,,1415521990,04/12/2014,07/12/2014,3
9606280,53,,1415521891,01/12/2014,04/12/2014,3
9515238,45,14,1415521802,14/11/2014,17/11/2014,3
9607906,0,,1415521796,16/11/2014,19/11/2014,3
9607362,13,14,1415521737,14/12/2014,15/12/2014,1
9607658,0,,1415521715,04/12/2014,07/12/2014,3
9607550,10,,1415521706,16/11/2014,19/11/2014,3
9538746,22,928,1415521623,12/12/2014,13/12/2014,1
9494124,38,,1415521576,01/12/2014,04/12/2014,3
9604508,0,,1415521420,01/12/2014,04/12/2014,3
9607096,17,,1415521331,04/12/2014,07/12/2014,3
9607078,8,,1415521318,04/12/2014,07/12/2014,3
9607424,2,714,1415521046,23/12/2014,26/12/2014,3
9606542,30,604336,1415520989,16/11/2014,19/11/2014,3
9607376,4,,1415520962,04/12/2014,07/12/2014,3
9607310,0,,1415520900,01/12/2014,04/12/2014,3
9607412,1,,1415520900,16/11/2014,19/11/2014,3
9607184,8,530518,1415520835,14/12/2014,15/12/2014,1
9605348,7,70,1415520815,01/12/2014,03/12/2014,2
9607274,0,14,1415520766,16/11/2014,19/11/2014,3
9606862,17,"Salt Lake, West Bengal, India",1415520712,17/11/2014,18/11/2014,1
9607122,0,,1415520709,04/12/2014,07/12/2014,3
9607100,0,62,1415520633,13/12/2014,14/12/2014,1
9607286,0,172,1415520605,16/11/2014,19/11/2014,3
9607280,0,,1415520476,07/12/2014,09/12/2014,2
9607198,0,,1415520462,16/11/2014,19/11/2014,3
9607106,5,,1415520460,04/12/2014,07/12/2014,3
9604326,38,,1415520387,04/12/2014,07/12/2014,3
9606480,0,,1415520291,04/12/2014,07/12/2014,3
9577314,34,,1415520205,15/11/2014,18/11/2014,3
9607050,1,604336,1415520188,16/11/2014,19/11/2014,3
9606440,0,,1415520137,04/12/2014,07/12/2014,3
9273964,0,110,1415520067,23/11/2014,25/11/2014,2
9602926,0,444,1415519878,15/11/2014,18/11/2014,3
9606686,6,,1415519853,04/12/2014,07/12/2014,3
9605726,0,,1415519799,16/11/2014,19/11/2014,3
9606546,7,730,1415519743,25/12/2014,27/12/2014,2
9604216,9,,1415519692,04/12/2014,07/12/2014,3
9488932,0,1130,1415519655,26/12/2014,28/12/2014,2
9606518,8,12744,1415519636,14/12/2014,15/12/2014,1
9545410,19,,1415519617,14/11/2014,17/11/2014,3
9606142,19,,1415519600,04/12/2014,07/12/2014,3
9606770,0,13514,1415519567,14/12/2014,15/12/2014,1
9605390,31,290,1415519456,16/11/2014,19/11/2014,3
9606540,3,522791,1415519354,16/11/2014,19/11/2014,3
9606534,0,,1415519158,16/11/2014,19/11/2014,3
9606222,9,38,1415519143,16/11/2014,19/11/2014,3
9606164,9,,1415519069,01/12/2014,04/12/2014,3
9605524,25,,1415519063,16/11/2014,19/11/2014,3
9606438,0,,1415518967,01/12/2014,04/12/2014,3
9606322,0,,1415518960,04/12/2014,07/12/2014,3
9606350,0,258,1415518924,01/12/2014,03/12/2014,2
9605760,0,,1415518906,04/12/2014,07/12/2014,3
9606096,7,14,1415518905,15/01/2015,16/02/2015,1
9605628,12,512,1415518882,16/11/2014,18/11/2014,2
9606338,0,14056,1415518869,25/12/2014,28/12/2014,3
9592348,1,146,1415518720,0/12/2014,07/12/2014,7
9604878,39,,1415518689,04/12/2014,07/12/2014,3
9605574,19,,1415518634,16/11/2014,19/11/2014,3
9604978,9,,1415518624,04/12/2014,07/12/2014,3
9604864,38,438,1415518593,16/11/2014,19/11/2014,3
9564004,1,,1415518556,15/11/2014,18/11/2014,3
9605978,0,8,1415518532,16/11/2014,19/11/2014,3
9606146,0,24065,1415518476,16/11/2014,19/11/2014,3
9319328,13,236,1415518467,24/12/2014,27/12/2014,3
9605496,18,,1415518449,04/12/2014,07/12/2014,3
9604948,30,,1415518439,04/12/2014,07/12/2014,3
9605272,15,348,1415518340,01/12/2014,03/12/2014,2
9605958,0,14,1415518328,16/11/2014,19/11/2014,3
9335422,45,154,1415518323,16/11/2014,19/11/2014,3
9600832,29,346397,1415518124,13/12/2014,14/12/2014,1
9605486,10,,1415518100,04/12/2014,07/12/2014,3
9605902,0,,1415518021,04/12/2014,07/12/2014,3
9605444,8,60,1415517733,16/11/2014,19/11/2014,3
9603700,5,,1415517697,16/11/2014,19/11/2014,3
9605358,10,,1415517692,04/12/2014,07/12/2014,3
9604710,21,,1415517608,04/12/2014,07/12/2014,3
9605464,3,18,1415517517,16/11/2014,19/11/2014,3
9604578,29,,1415517491,04/12/2014,07/12/2014,3
9605492,2,,1415517481,04/12/2014,07/12/2014,3
9605220,10,,1415517469,16/11/2014,19/11/2014,3
9605458,0,110,1415517395,16/11/2014,19/11/2014,3
9603884,48,23571,1415517349,16/11/2014,19/11/2014,3
9605288,1,24065,1415517328,10/11/2014,11/11/2014,1
9603706,47,150,1415517269,10/11/2014,11/11/2014,1
9513318,0,13900,1415517251,14/11/2014,15/11/2014,1
9387362,26,512,1415517182,27/11/2014,30/11/2014,3
9605004,8,,1415517174,16/11/2014,19/11/2014,3
9604002,11,,1415517129,04/12/2014,07/12/2014,3
9605084,2,,1415517109,16/11/2014,19/11/2014,3
9605178,5,22615,1415517109,28/12/2014,02/01/2015,-26
9543524,35,,1415517094,14/11/2014,17/11/2014,3
9604908,0,,1415516939,16/11/2014,19/11/2014,3
9603984,38,144,1415516905,16/11/2014,19/11/2014,3
9604400,21,,1415516821,04/12/2014,07/12/2014,3
9604490,16,42,1415516783,16/11/2014,19/11/2014,3
9603930,2,,1415516768,16/11/2014,19/11/2014,3
9275798,16,Homepage,1415516763,,,0
9582600,20,382,1415516738,13/12/2014,14/12/2014,1
9605120,0,,1415516678,04/12/2014,07/12/2014,3
9604810,6,852,1415516670,26/12/2014,27/12/2014,1
9603326,47,,1415516541,04/12/2014,07/12/2014,3
9600530,10,17800,1415516497,13/12/2014,14/12/2014,1
9604012,23,,1415516496,01/12/2014,04/12/2014,3
9604930,0,96177,1415516445,16/11/2014,19/11/2014,3
9604506,10,,1415516338,16/11/2014,19/11/2014,3
